ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000430238 ENST00000425177 ENST00000452949 ENST00000416324 ENST00000419996 ENST00000400157 ENST00000426401 ENST00000439902 ENST00000440956 ENST00000443975 ENST00000425856 ENST00000422771 ENST00000375918 ENST00000375920 	ENST00000436569 ENST00000433726 ENST00000425568 ENST00000444557 ENST00000418840 ENST00000421991 ENST00000415170 ENST00000446133 ENST00000451042 ENST00000424221 ENST00000438641 ENST00000448278 ENST00000437771 	34 34 34 33 34 33 34 33 34 33 34 33 34 33 	85 52 85 52 85 52 85 52 85 52 85 52 85 	34 34 34 33 34 33 34 33 34 33 34 33 34 33 	85 52 85 52 85 52 85 52 85 52 85 52 85 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000475608 	75 	14 	75 	14 	53 	52 
ENST00000492315 	ENST00000292478 	1821 	5486 	1834 	5486 	40 	53 
ENST00000565677 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000570037 ENST00000562111 	1403 1725 572 174 	780 733 	1403 1725 572 174 	780 733 	53 53 53 53 	52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 	300 231 	199 	300 231 	199 	53 53 	52 
ENST00000463943 	ENST00000507623 ENST00000380638 	405 	59 59 	405 	59 59 	53 	53 53 
ENST00000309955 ENST00000544076 	ENST00000476192 ENST00000497426 	3734 1435 	6937 6937 	3734 1435 	6937 6937 	53 53 	53 53 
ENST00000269221 ENST00000589215 ENST00000590868 ENST00000591367 ENST00000593081 ENST00000589409 	ENST00000588867 	2094 1881 1940 653 607 641 	1883 	2096 1883 1942 655 609 643 	1883 	51 51 51 51 51 51 	52 
ENST00000514253 	ENST00000511844 	496 	100 	496 	100 	53 	53 
ENST00000543469 	ENST00000405123 ENST00000185150 ENST00000378239 	3929 	1467 1545 1383 	3929 	1467 1545 1383 	53 	52 52 52 
ENST00000560723 	ENST00000559556 	417 	901 	417 	905 	53 	49 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1267 862 1270 	233 	1267 862 1270 	233 	52 52 52 	52 
ENST00000449549 	ENST00000265849 ENST00000382321 ENST00000441476 ENST00000486256 ENST00000403974 	2580 	2600 1291 2176 2182 1434 	2580 	2600 1291 2176 2182 1434 	53 	53 53 53 53 53 
ENST00000458470 ENST00000287152 	ENST00000324288 	6384 6855 	6301 	6384 6855 	6301 	51 51 	51 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4139 	113 111 313 113 113 	4139 	113 111 313 113 113 	53 	53 53 53 53 53 
ENST00000442281 ENST00000429656 ENST00000417944 ENST00000451967 ENST00000450479 ENST00000580020 	ENST00000457879 ENST00000438861 ENST00000468666 ENST00000547271 	222 222 222 222 222 222 	335 303 0 16 	222 222 222 222 222 222 	335 303 0 16 	53 53 53 53 53 53 	53 53 53 53 
ENST00000592173 	ENST00000524654 ENST00000378746 ENST00000277942 ENST00000598574 ENST00000439326 ENST00000573028 ENST00000446250 ENST00000556067 ENST00000477629 ENST00000245912 ENST00000599359 ENST00000326176 	2347 	197 3533 7516 1556 4769 2976 2976 409 1828 801 1243 1135 	2365 	214 3550 7533 1573 4786 2993 2993 426 1845 818 1260 1152 	35 	31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000526743 	ENST00000534706 	1855 	677 	1855 	677 	53 	51 
ENST00000425063 ENST00000394163 ENST00000494357 ENST00000419215 ENST00000424881 	ENST00000415083 	3611 3501 4776 3319 3643 	2946 	3611 3501 4776 3319 3643 	2946 	51 51 51 51 51 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3080 2981 2735 	318 	3082 2983 2737 	318 	47 47 47 	53 
ENST00000439011 	ENST00000444840 	514 	285 	515 	285 	52 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	173 132 	463 	173 132 	53 	42 42 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000293882 ENST00000454700 	ENST00000563505 ENST00000564316 	1633 1800 1597 1621 1528 1723 1633 	566 69 	1633 1800 1597 1621 1528 1723 1633 	566 69 	53 53 53 53 53 53 53 	50 50 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	89 87 229 	3744 	89 87 229 	53 	53 53 53 
ENST00000269143 	ENST00000590693 ENST00000317702 ENST00000590388 ENST00000586653 ENST00000586810 ENST00000417736 ENST00000587204 ENST00000592683 ENST00000590967 ENST00000591208 ENST00000591463 ENST00000586691 	2946 	322 424 242 242 242 579 239 236 230 221 111 0 	2946 	322 424 242 242 242 579 239 236 230 221 111 0 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	97 95 237 	3759 	97 95 237 	52 	53 53 53 
ENST00000566692 ENST00000329099 	ENST00000510164 	2682 2682 	1150 	2682 2682 	1150 	53 53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1949 2081 2528 	260 	1949 2081 2528 	260 	52 52 52 	53 
ENST00000508814 	ENST00000510019 	298 	249 	298 	249 	52 	50 
ENST00000531395 ENST00000533405 	ENST00000549190 ENST00000395580 ENST00000358314 ENST00000449194 	524 180 	1496 1409 1354 1286 	534 190 	1496 1409 1354 1286 	31 31 	53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3072 2973 2727 	288 	3076 2977 2731 	288 	48 48 48 	53 
ENST00000361681 ENST00000506002 	ENST00000361567 	429 429 	1491 	429 429 	1491 	53 53 	53 
ENST00000482278 	ENST00000482153 	567 	451 	567 	451 	53 	53 
ENST00000463943 	ENST00000507623 ENST00000380638 	400 	59 59 	401 	59 59 	51 	53 53 
ENST00000309733 	ENST00000481617 	8232 	2581 	8232 	2581 	53 	52 
ENST00000514253 	ENST00000510019 	484 	228 	484 	228 	53 	53 
ENST00000514253 	ENST00000511844 	495 	104 	495 	104 	53 	53 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000508075 ENST00000469632 ENST00000409562 ENST00000493254 ENST00000566753 ENST00000604604 	ENST00000489060 	2497 2497 718 692 799 2489 1812 1771 842 	1911 	2497 2497 718 692 799 2489 1812 1771 842 	1911 	52 52 52 52 52 52 52 52 52 	44 
ENST00000395891 	ENST00000319863 ENST00000354286 	7292 	2216 1832 	7299 	2216 1832 	46 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4128 	108 310 110 110 	4128 	108 310 110 110 	52 	53 53 53 53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1267 1434 1231 1255 1162 587 1357 1267 	451 	1267 1434 1231 1255 1162 587 1357 1267 	451 	53 53 53 53 53 53 53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000562824 	ENST00000564370 	949 	818 	950 	818 	52 	47 
ENST00000367996 	ENST00000514271 	3898 	604 	3898 	610 	53 	45 
ENST00000281382 	ENST00000557531 ENST00000437982 ENST00000449922 ENST00000415552 ENST00000555758 	1229 	28 446 446 485 446 	1229 	28 446 446 485 446 	53 	52 52 52 52 52 
ENST00000356970 ENST00000369971 ENST00000415331 ENST00000369969 ENST00000369968 	ENST00000441735 	4530 4552 4412 4060 3868 	466 	4530 4552 4412 4060 3868 	466 	53 53 53 53 53 	53 
ENST00000370693 	ENST00000468148 	6590 	1387 	6590 	1387 	53 	53 
ENST00000399120 ENST00000392869 	ENST00000514701 	376 7122 	18575 	376 7122 	18594 	36 36 	33 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1091 1108 	214 252 	1091 1108 	214 252 	50 50 	53 53 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1396 	560 597 291 	1396 	560 597 291 	53 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	813 346 369 364 370 371 569 369 401 369 346 	3482 	813 346 369 364 370 371 569 369 401 369 346 	52 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	280 	223 233 	280 	223 233 	53 	53 53 
ENST00000491306 ENST00000478153 ENST00000490649 ENST00000487233 ENST00000600880 ENST00000446558 ENST00000420712 ENST00000359681 ENST00000456586 ENST00000598925 ENST00000427280 ENST00000441179 	ENST00000367306 ENST00000533402 ENST00000527662 ENST00000532313 ENST00000532460 ENST00000533432 ENST00000530120 ENST00000526723 ENST00000526317 ENST00000524951 ENST00000340006 	702 458 66 47 41 36 29 416 79 197 197 54 	869 7217 2950 3981 658 722 447 461 261 517 696 	702 458 66 47 41 36 29 416 79 197 197 54 	869 7217 2950 3981 658 722 447 461 261 517 696 	53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	285 	74 17 	285 	74 17 	53 	53 53 
ENST00000560710 ENST00000585962 	ENST00000340413 ENST00000367403 	669 1524 	3260 3230 	669 1524 	3260 3230 	36 36 	53 53 
ENST00000592379 	ENST00000582736 	33 	108 	33 	108 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	88 86 228 	3760 	88 86 228 	52 	53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	215 225 	278 	215 225 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	464 	145 104 	464 	145 104 	53 	53 53 
ENST00000335185 	ENST00000525054 	3748 	516 	3748 	516 	53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	200 	307 238 	200 	53 53 	52 
ENST00000514253 	ENST00000510019 	444 	191 	444 	191 	53 	53 
ENST00000508716 	ENST00000307259 	2060 	1423 	2060 	1423 	52 	52 
ENST00000461013 ENST00000471069 ENST00000592423 ENST00000586331 ENST00000367157 ENST00000360380 ENST00000371877 ENST00000337817 ENST00000373839 ENST00000373836 ENST00000406451 ENST00000427117 ENST00000586353 ENST00000482199 ENST00000311128 ENST00000603572 ENST00000604311 ENST00000590517 ENST00000587996 ENST00000592608 ENST00000590939 ENST00000588310 ENST00000592538 ENST00000589806 ENST00000586069 ENST00000588148 ENST00000586303 ENST00000585991 ENST00000585529 ENST00000586623 ENST00000587221 ENST00000592344 ENST00000589439 	ENST00000260810 	3452 1131 2159 720 2750 4722 4509 4513 5151 5134 6923 1098 763 4 3580 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 	5259 	3452 1131 2159 720 2750 4722 4509 4513 5151 5134 6923 1098 763 4 3580 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 2159 720 	5259 	40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 	51 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	79 22 	376 	79 22 	53 	51 51 
ENST00000409508 ENST00000328843 	ENST00000373934 	14114 14135 	1574 	14114 14135 	1574 	34 34 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	79 22 	389 	79 22 	53 	51 51 
ENST00000536084 	ENST00000400479 	2220 	888 	2220 	888 	46 	53 
ENST00000449131 	ENST00000517577 	3740 	213 	3740 	213 	53 	53 
ENST00000463943 	ENST00000284856 	365 	777 	365 	784 	53 	43 
ENST00000564357 	ENST00000304516 ENST00000567705 	1153 	1290 821 	1153 	1290 821 	53 	51 51 
ENST00000269221 ENST00000589215 ENST00000590868 ENST00000591367 ENST00000593081 ENST00000589409 	ENST00000340622 ENST00000471735 ENST00000458143 	2078 1865 1924 637 591 625 	943 259 933 	2096 1883 1942 655 609 643 	943 259 933 	34 34 34 34 34 34 	50 50 50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3477 	827 360 383 378 384 385 383 360 	3477 	827 360 383 378 384 385 383 360 	53 	52 52 52 52 52 52 52 52 
ENST00000314675 	ENST00000270792 ENST00000319041 	2060 	1380 559 	2060 	1380 559 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000567398 	ENST00000263805 ENST00000565380 ENST00000565500 ENST00000399974 	836 	7969 5484 4542 674 	856 	7989 5504 4562 694 	31 	31 31 31 31 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000309733 ENST00000392857 	3252 762 750 	7742 4710 	3265 775 763 	7742 4710 	40 40 40 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	98 96 238 	3744 	98 96 238 	53 	53 53 53 
ENST00000511955 	ENST00000400104 ENST00000609263 	-1 	3275 2974 	19 	3275 2974 	32 	33 33 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4159 	50 69 71 50 	4159 	50 69 71 50 	52 	53 53 53 53 
ENST00000533405 	ENST00000534147 	234 	896 	234 	896 	53 	52 
ENST00000273480 ENST00000486377 	ENST00000456967 ENST00000607301 	1217 173 	2063 2063 	1234 190 	2063 2063 	33 33 	35 35 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	102 304 104 104 	4149 	102 304 104 104 	52 	53 53 53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 	201 	101 60 79 	201 	101 60 79 	53 	53 53 53 
ENST00000540200 	ENST00000571558 ENST00000575599 ENST00000381209 ENST00000571613 ENST00000539417 ENST00000573126 	2438 	1049 985 1161 1314 1097 2526 	2438 	1049 985 1161 1314 1097 2526 	53 	53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4149 	50 69 71 50 	4149 	50 69 71 50 	52 	53 53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	308 239 	118 77 	308 239 	118 77 	53 53 	53 53 
ENST00000419932 	ENST00000346798 ENST00000354192 ENST00000348990 ENST00000357903 ENST00000440126 ENST00000439274 ENST00000448850 ENST00000415997 ENST00000491395 ENST00000474136 ENST00000358918 ENST00000359726 ENST00000448388 	152 	815 740 928 948 1032 647 545 152 138 907 981 981 868 	152 	815 740 928 948 1032 647 545 152 138 907 981 981 868 	38 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000517577 	3743 	212 	3743 	212 	52 	52 
ENST00000546139 	ENST00000395319 ENST00000395321 ENST00000226253 ENST00000460201 ENST00000584086 ENST00000581807 ENST00000435638 ENST00000578590 ENST00000582381 	117 	324 443 703 609 387 285 358 699 330 	117 	324 443 703 609 387 285 358 699 330 	53 	53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000475608 	71 	37 	71 	37 	53 	52 
ENST00000546192 	ENST00000541273 ENST00000474004 ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 ENST00000485724 	2174 	190 441 424 463 321 1550 436 	2174 	190 441 424 463 321 1550 436 	53 	51 51 51 51 51 51 51 
ENST00000526743 	ENST00000528784 	1451 	827 	1451 	827 	53 	51 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	287 	186 196 241 	287 	186 196 241 	53 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	222 173 	1152 1169 	222 173 	53 53 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	444 	155 114 	444 	155 114 	53 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3084 2985 2739 	319 	3084 2985 2739 	319 	53 53 53 	52 
ENST00000492999 	ENST00000424633 ENST00000454660 ENST00000481802 ENST00000431782 ENST00000477007 	278 	88 88 88 84 88 	278 	88 88 88 84 88 	53 	35 35 35 35 35 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	657 666 670 552 	359 	657 666 670 552 	44 	53 53 53 53 
ENST00000560723 	ENST00000559556 	423 	805 	423 	805 	53 	53 
ENST00000314675 	ENST00000319041 	2112 	578 	2112 	578 	52 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000340802 ENST00000547581 ENST00000359794 ENST00000546964 ENST00000552989 ENST00000551804 ENST00000547587 ENST00000395233 ENST00000312352 	1937 2069 2516 	1207 1358 959 842 319 921 898 807 809 	1937 2069 2516 	1207 1358 959 842 319 921 898 807 809 	53 53 53 	45 45 45 45 45 45 45 45 45 
ENST00000327064 ENST00000344150 ENST00000586221 	ENST00000586748 ENST00000253031 	2922 2663 2651 	1498 1452 	2922 2663 2651 	1498 1452 	53 53 53 	52 52 
ENST00000281382 	ENST00000441611 ENST00000370372 	989 	798 762 	989 	798 762 	53 	53 53 
ENST00000565561 	ENST00000272252 	710 	1918 	710 	1918 	32 	53 
ENST00000514253 	ENST00000511844 	492 	108 	492 	108 	53 	53 
ENST00000419932 	ENST00000609777 	289 	178 	293 	190 	49 	40 
ENST00000592379 	ENST00000475608 	64 	20 	64 	20 	53 	52 
ENST00000314675 	ENST00000319041 	2112 	630 	2112 	630 	52 	53 
ENST00000592379 	ENST00000582736 	41 	100 	41 	100 	53 	53 
ENST00000361681 	ENST00000361567 	365 	1586 	365 	1586 	52 	52 
ENST00000563924 	ENST00000493763 ENST00000304734 	3343 	2762 2026 	3343 	2762 2026 	37 	51 51 
ENST00000470907 ENST00000264094 ENST00000409249 	ENST00000484881 ENST00000352222 ENST00000437202 	2577 3266 2361 	626 823 992 	2577 3266 2361 	626 823 992 	52 52 52 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	258 	1091 1108 	258 	50 50 	52 
ENST00000563480 ENST00000395589 	ENST00000519737 	457 457 	952 	457 457 	952 	52 52 	52 
ENST00000575479 	ENST00000576106 ENST00000571011 ENST00000570403 	213 	318 386 461 	216 	318 386 461 	47 	52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	78 76 218 215 	3744 	78 76 218 215 	53 	53 53 53 53 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000409562 ENST00000481617 ENST00000295025 	ENST00000606080 ENST00000483793 ENST00000354232 ENST00000271375 	2426 2426 647 2418 3891 8401 	3801 4106 1916 6097 	2426 2426 647 2418 3891 8401 	3817 4122 1932 6113 	50 50 50 50 50 50 	37 37 37 37 
ENST00000449131 	ENST00000517577 	3740 	247 	3740 	247 	53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	326 	1946 2078 2525 	326 	53 53 53 	53 
ENST00000368706 ENST00000474991 	ENST00000257868 	85 147 	1584 	85 147 	1584 	53 53 	53 
ENST00000342039 ENST00000338938 ENST00000379430 	ENST00000539808 ENST00000547716 ENST00000559567 ENST00000558075 ENST00000558178 ENST00000560698 	1543 1543 1543 	834 901 740 740 834 901 	1543 1543 1543 	834 901 740 740 834 901 	53 53 53 	51 51 51 51 51 51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000526743 	ENST00000299421 ENST00000420936 ENST00000526114 ENST00000527121 ENST00000528995 ENST00000396751 ENST00000526318 ENST00000524735 	2887 	387 314 436 381 331 659 179 489 	2887 	387 314 436 381 331 659 179 489 	51 	53 53 53 53 53 53 53 53 
ENST00000473325 	ENST00000582743 ENST00000581287 ENST00000392341 ENST00000392339 	3122 	1312 3533 1350 1329 	3122 	1312 3533 1350 1329 	51 	53 53 53 53 
ENST00000306984 ENST00000369985 ENST00000369981 ENST00000282841 ENST00000358966 ENST00000378279 ENST00000523536 ENST00000216264 ENST00000441801 ENST00000481066 ENST00000436580 ENST00000355407 	ENST00000372037 ENST00000398738 ENST00000543600 ENST00000444614 ENST00000536991 ENST00000461350 ENST00000209875 ENST00000411857 	6964 7876 7965 1636 1488 530 296 3490 1237 281 2689 1615 	4300 1825 1816 1649 327 1241 6992 4766 	6964 7876 7965 1636 1488 530 296 3490 1237 281 2689 1615 	4300 1825 1816 1649 327 1241 6992 4766 	53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000492727 	4177 	76 	4177 	76 	53 	53 
ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000567973 ENST00000539061 ENST00000436679 ENST00000504880 ENST00000522663 ENST00000403396 ENST00000529482 ENST00000526284 	ENST00000521576 ENST00000297798 ENST00000411432 	927 941 927 941 214 1575 631 868 2724 2724 400 383 	193 193 3493 	933 947 933 947 220 1581 637 874 2730 2730 406 389 	204 204 3504 	47 47 47 47 47 47 47 47 47 47 47 47 	42 42 42 
ENST00000592379 	ENST00000582736 ENST00000437246 	43 	101 86 	43 	101 86 	53 	53 53 
ENST00000373237 	ENST00000353047 ENST00000434271 	2001 	3251 3235 	2001 	3251 3235 	36 	52 52 
ENST00000526743 	ENST00000245185 ENST00000563985 ENST00000562017 ENST00000561491 ENST00000567300 	926 	661 584 778 459 291 	926 	661 584 778 459 291 	53 	53 53 53 53 53 
ENST00000519937 ENST00000393822 ENST00000342375 	ENST00000326840 ENST00000326857 	3044 3160 3160 	3083 2762 	3062 3178 3178 	3083 2762 	31 31 31 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3470 	796 329 347 213 211 552 352 384 352 329 	3470 	796 329 347 213 211 552 352 384 352 329 	51 	51 51 51 51 51 51 51 51 51 51 
ENST00000514253 	ENST00000511844 	497 	68 	497 	68 	53 	53 
ENST00000560723 	ENST00000559556 	421 	896 	421 	896 	52 	53 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000526267 ENST00000525054 	3654 	1358 1475 257 298 	3654 	1358 1475 257 298 	50 	52 52 52 52 
ENST00000314675 	ENST00000319041 	2110 	563 	2114 	563 	49 	53 
ENST00000439231 	ENST00000227507 	344 	2481 	347 	2481 	33 	52 
ENST00000558583 ENST00000489060 ENST00000310613 ENST00000474698 	ENST00000295025 	6115 2006 3213 5022 	8334 	6115 2006 3213 5022 	8334 	53 53 53 53 	52 
ENST00000504184 	ENST00000505459 	1457 	1448 	1457 	1448 	53 	53 
ENST00000606183 	ENST00000455565 	6178 	1559 	6183 	1559 	34 	36 
