ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000355520 ENST00000261200 	ENST00000312675 ENST00000543006 ENST00000469718 	7041 6636 	13597 13540 686 	7041 6636 	13597 13540 686 	45 45 	53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	183 142 	307 238 	194 153 	53 53 	40 40 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	3786 	98 96 237 238 	3786 	98 96 237 238 	53 	53 53 53 53 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	462 	153 112 	462 	153 112 	52 	53 53 
ENST00000484377 ENST00000468874 ENST00000573757 ENST00000573907 	ENST00000545369 ENST00000573887 	290 638 290 638 	815 815 	290 638 290 638 	815 815 	51 51 51 51 	53 53 
ENST00000378312 ENST00000278422 ENST00000529403 	ENST00000244043 ENST00000478379 	1219 1329 1399 	4568 2347 	1219 1329 1399 	4568 2347 	34 34 34 	43 43 
ENST00000587935 	ENST00000579815 	86 	530 	86 	530 	53 	52 
ENST00000587935 	ENST00000579815 	86 	530 	86 	530 	53 	52 
ENST00000496116 	ENST00000573554 ENST00000287263 ENST00000330843 	510 	435 4315 6204 	520 	435 4315 6204 	43 	39 39 39 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	171 130 	484 	171 130 	53 	53 53 
ENST00000464876 	ENST00000498052 ENST00000548238 	3250 	1555 14 	3252 	1555 14 	31 	32 32 
ENST00000538183 ENST00000321521 ENST00000312675 ENST00000543006 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 	ENST00000392385 ENST00000551944 ENST00000604604 ENST00000261200 ENST00000295025 	7051 7939 13233 13176 4540 4540 2731 4539 	1088 3240 1212 7391 8838 	7051 7939 13233 13176 4540 4540 2731 4539 	1088 3240 1212 7391 8838 	53 53 53 53 53 53 53 53 	53 53 53 53 53 
ENST00000592379 	ENST00000475608 	56 	7 	56 	7 	53 	51 
ENST00000393892 	ENST00000577172 ENST00000316603 	4112 	1329 1329 	4112 	1329 1329 	53 	53 53 
ENST00000449131 	ENST00000374395 ENST00000436717 	3556 	227 227 	3556 	227 227 	53 	53 53 
ENST00000335185 	ENST00000525054 	3735 	516 	3735 	516 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	350 	81 24 	350 	81 24 	53 	52 52 
ENST00000592379 	ENST00000582736 	16 	93 	16 	93 	53 	53 
ENST00000449131 	ENST00000530019 ENST00000492727 	3746 	319 111 	3754 	319 111 	45 	53 53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 	1284 	606 547 319 382 382 	1284 	606 547 319 382 382 	52 	52 52 52 52 52 
ENST00000595377 	ENST00000311638 ENST00000380837 	290 	2418 2292 	290 	2426 2300 	53 	45 45 
ENST00000582081 ENST00000577997 	ENST00000602788 	4645 4645 	2804 	4645 4645 	2804 	53 53 	53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 ENST00000466304 ENST00000435618 ENST00000481283 ENST00000489762 ENST00000421349 ENST00000498484 ENST00000463832 	201 	43 2 21 30 87 2 21 71 2 21 	201 	43 2 21 30 87 2 21 71 2 21 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3757 	76 74 216 	3757 	76 74 216 	53 	51 51 51 
ENST00000568313 	ENST00000567173 ENST00000563505 ENST00000566181 	758 	601 652 325 	758 	601 652 325 	53 	51 51 51 
ENST00000526743 	ENST00000528784 	1451 	846 	1451 	846 	53 	53 
ENST00000306336 ENST00000420686 ENST00000423181 	ENST00000493732 	753 750 805 	1826 	753 750 805 	1826 	31 31 31 	52 
ENST00000514253 	ENST00000510019 	482 	223 	482 	223 	53 	52 
ENST00000427996 ENST00000436110 ENST00000430835 	ENST00000478266 	1030 1130 854 	511 	1034 1134 858 	511 	45 45 45 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	87 30 	363 	87 30 	53 	50 50 
ENST00000309733 ENST00000478538 ENST00000483793 ENST00000489060 	ENST00000493254 ENST00000488088 ENST00000604604 ENST00000261200 	6555 12 3755 1599 	2048 394 1082 7261 	6561 18 3761 1605 	2048 394 1082 7261 	46 46 46 46 	51 51 51 51 
ENST00000530332 	ENST00000525266 ENST00000325217 ENST00000532051 ENST00000529819 ENST00000528130 	948 	290 322 447 312 240 	948 	290 322 447 312 240 	51 	51 51 51 51 51 
ENST00000570780 ENST00000391950 	ENST00000520547 	1149 1166 	269 	1149 1166 	269 	52 52 	53 
ENST00000427908 	ENST00000436998 ENST00000425312 ENST00000567272 ENST00000403549 	1822 	279 279 431 279 	1822 	279 279 431 279 	51 	53 53 53 53 
ENST00000440612 ENST00000402550 ENST00000452318 	ENST00000429697 	1029 909 1206 	1060 	1031 911 1208 	1060 	51 51 51 	52 
ENST00000514253 	ENST00000511844 	496 	138 	496 	138 	53 	52 
ENST00000420940 ENST00000466405 	ENST00000441302 ENST00000319283 ENST00000453680 ENST00000452389 ENST00000422110 	3694 4854 	3161 3643 2800 2860 2453 	3704 4864 	3161 3643 2800 2860 2453 	42 42 	52 52 52 52 52 
ENST00000314675 	ENST00000319041 	2089 	613 	2089 	613 	53 	51 
ENST00000550703 ENST00000478122 ENST00000555870 ENST00000359242 ENST00000294678 	ENST00000476192 ENST00000497426 	1114 1076 6397 3285 3262 	4862 4862 	1114 1076 6397 3285 3262 	4862 4862 	47 47 47 47 47 	37 37 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	77 79 	4144 	77 79 	53 	53 53 
ENST00000361681 	ENST00000361567 	490 	1739 	490 	1739 	35 	52 
ENST00000361681 ENST00000506002 	ENST00000418797 ENST00000295598 ENST00000369494 ENST00000537345 ENST00000369496 	43 43 	408 418 337 529 338 	43 43 	408 418 337 529 338 	53 53 	53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2115 	624 	2115 	624 	52 	52 
ENST00000361681 	ENST00000361567 	488 	1676 	488 	1676 	37 	52 
ENST00000588793 ENST00000590690 	ENST00000507379 ENST00000508624 ENST00000257430 ENST00000508376 ENST00000512211 ENST00000502371 ENST00000514164 ENST00000457016 	22 22 	2292 2395 2206 2307 2297 503 545 2530 	22 22 	2292 2395 2206 2307 2297 503 545 2530 	31 31 	53 53 53 53 53 53 53 53 
ENST00000534529 ENST00000464497 	ENST00000564504 ENST00000562454 ENST00000562326 ENST00000566238 ENST00000562013 ENST00000355091 ENST00000361036 ENST00000529638 ENST00000530796 ENST00000534072 	1671 1352 	1607 1369 1130 498 513 1607 1369 1130 498 513 	1673 1354 	1607 1369 1130 498 513 1607 1369 1130 498 513 	37 37 	53 53 53 53 53 53 53 53 53 53 
ENST00000254942 ENST00000566051 ENST00000603068 	ENST00000477325 	1706 287 1688 	469 	1723 304 1705 	469 	35 35 35 	53 
ENST00000484363 ENST00000491452 ENST00000483423 ENST00000480241 ENST00000487302 ENST00000470703 ENST00000464396 	ENST00000262031 ENST00000552247 ENST00000552916 ENST00000550726 ENST00000552228 ENST00000525031 	249 249 249 249 249 249 249 	496 467 376 259 17 402 	249 249 249 249 249 249 249 	496 467 376 259 17 402 	46 46 46 46 46 46 46 	53 53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	277 	217 227 	277 	217 227 	52 	53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	444 	213 38 	444 	213 38 	53 	53 53 
ENST00000391946 ENST00000585434 ENST00000470402 	ENST00000588652 ENST00000391942 ENST00000391944 	1711 1700 1751 	2298 1381 2004 	1711 1700 1751 	2298 1381 2004 	53 53 53 	53 53 53 
ENST00000507477 ENST00000498926 	ENST00000432255 ENST00000539382 ENST00000608903 ENST00000422869 ENST00000608425 ENST00000343526 ENST00000551568 ENST00000338356 ENST00000505226 	1262 1900 	2272 1579 1452 2283 2232 7212 2743 2729 3030 	1271 1909 	2272 1579 1452 2283 2232 7212 2743 2729 3030 	36 36 	36 36 36 36 36 36 36 36 36 
ENST00000341861 ENST00000377767 ENST00000377780 	ENST00000549590 	7121 5223 5125 	2824 	7121 5223 5125 	2824 	48 48 48 	53 
ENST00000474602 	ENST00000399231 ENST00000356338 ENST00000399233 ENST00000358212 	2559 	6943 6692 6934 6774 	2566 	6943 6692 6934 6774 	43 	53 53 53 53 
ENST00000587935 	ENST00000579815 	81 	512 	81 	512 	52 	51 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3746 	211 93 91 233 211 	3746 	211 93 91 233 211 	53 	51 51 51 51 51 
ENST00000492999 	ENST00000424633 ENST00000454660 ENST00000477007 ENST00000482081 ENST00000600823 	277 	63 63 63 151 63 	277 	63 63 63 151 63 	52 	53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	368 	72 15 	368 	72 15 	53 	52 52 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1149 1166 	217 255 	1149 1166 	217 255 	52 52 	51 51 
ENST00000592379 	ENST00000475608 	149 	27 	149 	27 	53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1951 2083 2530 	363 	1951 2083 2530 	363 	51 51 51 	53 
ENST00000466187 	ENST00000221130 ENST00000414019 	331 	2625 2405 	352 	2625 2405 	32 	53 53 
ENST00000549558 	ENST00000547666 	2136 	1101 	2136 	1101 	52 	53 
ENST00000403627 ENST00000405159 	ENST00000582672 	1756 1823 	227 	1756 1823 	227 	53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	72 15 	376 	72 15 	53 	52 52 
ENST00000440943 ENST00000352171 ENST00000354831 ENST00000485608 ENST00000464385 ENST00000539524 	ENST00000371710 ENST00000337809 	1579 3610 3814 3089 417 3320 	3835 3796 	1579 3610 3814 3089 417 3320 	3835 3796 	53 53 53 53 53 53 	40 40 
ENST00000563411 ENST00000486304 	ENST00000556083 	418 418 	1554 	418 418 	1554 	53 53 	53 
ENST00000530456 ENST00000530057 ENST00000525170 ENST00000529121 ENST00000345662 ENST00000315285 ENST00000328664 ENST00000594104 	ENST00000571133 	258 248 341 1306 3600 3600 2220 776 	1733 	258 248 341 1306 3600 3600 2220 776 	1733 	53 53 53 53 53 53 53 53 	53 
ENST00000526743 	ENST00000225964 	1690 	1162 	1690 	1162 	53 	53 
ENST00000592379 	ENST00000582736 	46 	58 	46 	58 	53 	53 
ENST00000514253 	ENST00000511844 	495 	132 	495 	142 	53 	43 
ENST00000449131 	ENST00000492727 	4177 	97 	4177 	97 	53 	52 
ENST00000592379 	ENST00000437246 	71 	78 	71 	78 	53 	53 
ENST00000273550 	ENST00000524877 	1173 	5712 	1173 	5712 	53 	53 
ENST00000419932 	ENST00000263956 ENST00000435252 	142 	1608 87 	152 	1608 87 	38 	52 52 
ENST00000514253 	ENST00000511844 	498 	70 	498 	70 	53 	53 
ENST00000526743 	ENST00000534706 	1853 	650 	1853 	650 	53 	53 
ENST00000320934 	ENST00000501597 ENST00000546176 	4510 	57 16 	4510 	57 16 	53 	52 52 
ENST00000258873 	ENST00000559803 ENST00000441490 	4777 	952 904 	4777 	952 904 	53 	53 53 
ENST00000449131 	ENST00000517577 	3741 	247 	3741 	247 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	77 20 	389 	77 20 	53 	52 52 
ENST00000554081 	ENST00000557324 	3072 	558 	3072 	558 	53 	52 
ENST00000587935 	ENST00000550920 ENST00000550952 ENST00000356769 ENST00000552540 ENST00000393891 ENST00000548386 ENST00000548563 ENST00000546392 ENST00000547914 ENST00000546410 ENST00000454682 	136 	566 2741 2509 895 880 237 653 692 465 397 6443 	136 	566 2741 2509 895 880 237 653 692 465 397 6443 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	72 15 	349 	72 15 	51 	52 52 
ENST00000435830 	ENST00000422177 	3431 	1479 	3442 	1499 	34 	32 
ENST00000458073 ENST00000489527 	ENST00000470642 	1235 307 	473 	1235 307 	473 	53 53 	52 
ENST00000514253 	ENST00000511844 	513 	53 	515 	53 	50 	52 
ENST00000557060 ENST00000551944 ENST00000493254 ENST00000555870 ENST00000337630 ENST00000604604 ENST00000295025 ENST00000469718 ENST00000602666 	ENST00000409740 ENST00000485660 	2936 3480 2417 7011 2016 1453 9079 610 2628 	63 28 	2936 3480 2417 7011 2016 1453 9079 610 2628 	64 29 	52 52 52 52 52 52 52 52 52 	31 31 
ENST00000540225 ENST00000256594 	ENST00000264896 	2306 2224 	3773 	2306 2224 	3773 	53 53 	48 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3759 	79 77 219 216 	3759 	79 77 219 216 	52 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3460 	797 330 348 214 212 553 353 385 353 330 	3460 	797 330 348 214 212 553 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 50 
ENST00000549558 	ENST00000547666 	2170 	1101 	2170 	1101 	51 	53 
ENST00000419932 	ENST00000418655 	241 	829 	241 	849 	51 	32 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3494 	798 331 349 215 213 554 354 386 354 331 	3494 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000401827 ENST00000379419 	ENST00000424808 ENST00000262146 ENST00000518800 ENST00000527155 ENST00000458689 	1728 1349 	995 995 742 309 850 	1728 1349 	995 995 742 309 850 	53 53 	51 51 51 51 51 
ENST00000568567 	ENST00000361175 ENST00000456849 ENST00000427144 	1276 	2033 1942 1714 	1276 	2033 1942 1714 	31 	53 53 53 
ENST00000314675 	ENST00000319041 	2087 	419 	2087 	419 	53 	53 
ENST00000320934 	ENST00000529622 	4476 	358 	4476 	358 	53 	53 
ENST00000569248 ENST00000563505 	ENST00000568313 	1218 740 	880 	1220 742 	880 	51 51 	52 
ENST00000476149 	ENST00000557060 ENST00000551944 ENST00000493254 ENST00000295025 	2064 	2920 3464 2401 9063 	2064 	2920 3464 2401 9063 	53 	53 53 53 53 
ENST00000449131 	ENST00000517577 	3740 	236 	3740 	236 	53 	53 
ENST00000514253 	ENST00000511844 	510 	105 	510 	105 	53 	52 
ENST00000395934 	ENST00000546585 	1284 	1704 	1295 	1715 	42 	34 
ENST00000367619 	ENST00000554421 	3904 	80 	3904 	80 	53 	53 
ENST00000515059 	ENST00000256216 ENST00000515320 ENST00000442060 ENST00000510025 ENST00000504811 ENST00000414835 ENST00000513628 ENST00000509514 ENST00000522415 ENST00000509606 ENST00000503310 	2599 	2248 2140 2252 2218 2374 2117 1949 1960 782 410 775 	2599 	2248 2140 2252 2218 2374 2117 1949 1960 782 410 775 	32 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000531383 ENST00000534026 ENST00000508278 ENST00000535529 ENST00000564733 	ENST00000565321 ENST00000569563 ENST00000295121 ENST00000554677 ENST00000423772 ENST00000481276 ENST00000573373 ENST00000497613 ENST00000409379 ENST00000486834 ENST00000427638 ENST00000411678 	1174 1008 1301 1301 2256 	6364 4292 1282 566 358 1974 565 6364 4292 1196 327 2192 	1179 1013 1306 1306 2261 	6364 4292 1282 566 358 1974 565 6364 4292 1196 327 2192 	48 48 48 48 48 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	75 18 	376 	75 18 	53 	53 53 
ENST00000373484 	ENST00000414241 ENST00000458695 ENST00000463378 	3232 	1541 1440 780 	3232 	1541 1440 780 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3057 2958 2712 	284 	3065 2966 2720 	284 	44 44 44 	53 
ENST00000508814 	ENST00000510019 	298 	260 	298 	260 	52 	40 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3453 	813 346 369 364 370 371 569 369 401 369 346 	3453 	813 346 369 364 370 371 569 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000524272 ENST00000479929 ENST00000404685 ENST00000405511 ENST00000429038 ENST00000487472 ENST00000537369 	ENST00000293648 ENST00000448622 	377 1263 1353 1542 1619 411 212 	4984 5189 	377 1263 1353 1542 1619 411 212 	4984 5189 	53 53 53 53 53 53 53 	47 47 
ENST00000335185 	ENST00000526267 ENST00000525054 	3656 	459 500 	3656 	459 500 	52 	51 51 
ENST00000463943 	ENST00000507623 ENST00000380638 	405 	11 11 	405 	11 11 	53 	34 34 
ENST00000526743 	ENST00000528784 	1462 	849 	1462 	849 	53 	53 
ENST00000373484 	ENST00000414241 ENST00000458695 	3236 	1634 1533 	3236 	1634 1533 	53 	51 51 
ENST00000514253 	ENST00000511844 	513 	137 	513 	137 	52 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	264 	1109 1126 	264 	53 53 	53 
ENST00000492999 	ENST00000424633 ENST00000454660 	288 	63 63 	288 	63 63 	52 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	293 224 	185 144 	293 224 	185 144 	53 53 	52 52 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	222 47 	443 	222 47 	53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000599364 	4198 	45 45 	4198 	45 45 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3081 2982 2736 	282 	3081 2982 2736 	282 	53 53 53 	53 
ENST00000592379 	ENST00000475608 	72 	21 	72 	21 	53 	52 
ENST00000339208 ENST00000590102 ENST00000346661 ENST00000378815 ENST00000481362 ENST00000429989 ENST00000592551 ENST00000535113 ENST00000564644 ENST00000563793 ENST00000371091 ENST00000373210 ENST00000472198 ENST00000594671 ENST00000262960 ENST00000597145 ENST00000575402 ENST00000318348 ENST00000573729 ENST00000575324 ENST00000354451 	ENST00000381554 ENST00000290244 ENST00000381540 ENST00000452420 ENST00000441940 ENST00000480893 ENST00000437996 ENST00000361534 ENST00000429827 ENST00000420072 ENST00000440526 	7506 205 7412 1995 698 10545 1417 3584 455 346 455 6001 2144 3242 3688 4188 2742 1390 2144 2144 1479 	789 902 776 432 29 26 195 915 762 1404 533 	7515 214 7421 2004 707 10554 1426 3593 464 355 464 6010 2153 3251 3697 4197 2751 1399 2153 2153 1488 	789 902 776 432 29 26 195 915 762 1404 533 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000358654 	ENST00000533522 ENST00000277124 ENST00000281950 	2956 	197 195 1981 	2956 	197 195 1981 	35 	34 34 34 
ENST00000508814 	ENST00000510210 ENST00000512493 	279 	225 235 	279 	225 235 	53 	52 52 
ENST00000354608 	ENST00000256474 ENST00000345392 	1239 	3401 2498 	1251 	3401 2498 	41 	53 53 
ENST00000252725 ENST00000451682 ENST00000481997 ENST00000491294 ENST00000463078 	ENST00000350498 	1468 1657 869 972 454 	2503 	1468 1657 869 972 454 	2503 	53 53 53 53 53 	43 
ENST00000307980 ENST00000535644 	ENST00000358239 	2002 1506 	906 	2008 1512 	906 	46 46 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	77 20 	381 	77 20 	53 	52 52 
ENST00000492999 	ENST00000424633 ENST00000454660 ENST00000477007 	278 	68 68 68 	278 	68 68 68 	53 	52 52 52 
ENST00000366409 	ENST00000435781 ENST00000438571 ENST00000466776 	408 	508 702 300 	408 	508 702 300 	53 	53 53 53 
ENST00000525730 	ENST00000524614 ENST00000416656 	173 	251 299 	173 	251 299 	53 	53 53 
ENST00000525730 	ENST00000524614 ENST00000416656 	173 	251 299 	173 	251 299 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4140 	103 305 105 105 	4141 	103 305 105 105 	52 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	73 16 	364 	73 16 	53 	52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	379 	79 22 	379 	79 22 	53 	51 51 
ENST00000555870 	ENST00000606080 	3454 	6681 	3466 	6681 	32 	35 
ENST00000266659 	ENST00000438169 ENST00000551070 	1812 	719 438 	1812 	719 438 	53 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	79 22 	364 	79 22 	53 	51 51 
ENST00000449131 	ENST00000492727 ENST00000450676 	4164 	84 86 	4164 	84 86 	51 	53 53 
ENST00000361681 	ENST00000361567 	448 	1691 	448 	1691 	52 	51 
ENST00000343550 ENST00000222305 ENST00000595068 ENST00000379134 ENST00000594064 ENST00000607959 ENST00000599471 ENST00000599625 ENST00000600341 ENST00000594264 ENST00000600898 	ENST00000301740 	913 1027 1003 597 1076 1304 711 404 784 2137 746 	3979 	913 1027 1003 597 1076 1304 711 404 784 2137 746 	3979 	32 32 32 32 32 32 32 32 32 32 32 	53 
ENST00000419932 	ENST00000491291 ENST00000373316 ENST00000537456 ENST00000596897 ENST00000597340 ENST00000593893 	362 	317 492 570 317 492 570 	362 	317 492 570 317 492 570 	53 	53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	133 92 	482 	133 92 	53 	53 53 
ENST00000229239 ENST00000396856 ENST00000396861 ENST00000474249 ENST00000466588 ENST00000396859 ENST00000466525 ENST00000396858 	ENST00000429711 ENST00000273223 ENST00000435983 ENST00000396953 ENST00000457131 ENST00000452606 ENST00000396957 ENST00000405720 	1656 1078 1141 1171 1198 1069 1535 1129 	323 335 391 1515 378 278 416 220 	1656 1078 1141 1171 1198 1069 1535 1129 	323 335 391 1515 378 278 416 220 	51 51 51 51 51 51 51 51 	53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2112 	508 	2112 	508 	52 	53 
ENST00000449131 	ENST00000496856 ENST00000491818 ENST00000481587 ENST00000326361 ENST00000466264 ENST00000484866 ENST00000494234 ENST00000483460 ENST00000466663 	3569 	464 660 253 526 333 163 255 257 7 	3569 	464 660 253 526 333 163 255 257 7 	53 	53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000492727 	4169 	76 	4169 	76 	32 	53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000450676 	4159 	113 111 113 	4159 	113 111 113 	52 	53 53 53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1248 843 1251 	224 	1248 843 1251 	224 	53 53 53 	53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000544484 ENST00000544040 ENST00000309577 ENST00000357008 	290 290 290 	3528 3572 3554 3554 	290 290 290 	3528 3572 3554 3554 	53 53 53 	53 53 53 53 
