ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	662 671 675 557 	391 	662 671 675 557 	53 	52 52 52 52 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	113 111 313 113 113 	4129 	113 111 313 113 113 	51 	53 53 53 53 53 
ENST00000449131 	ENST00000492727 	4177 	88 	4177 	88 	53 	53 
ENST00000603027 	ENST00000433366 ENST00000604754 ENST00000603309 ENST00000466568 	4118 	5493 3116 819 302 	4118 	5493 3116 819 302 	53 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	155 114 	482 	155 114 	53 	53 53 
ENST00000604384 	ENST00000559376 	102 	1075 	102 	1083 	42 	32 
ENST00000250894 	ENST00000219302 	5551 	1029 	5551 	1029 	53 	40 
ENST00000314675 	ENST00000319041 	2089 	578 	2089 	578 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3492 	813 346 369 364 370 371 569 369 401 369 346 	3492 	813 346 369 364 370 371 569 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000508814 	ENST00000510019 	301 	238 	301 	238 	53 	52 
ENST00000575320 	ENST00000578542 	1811 	2231 	1811 	2231 	36 	52 
ENST00000425673 	ENST00000228936 	6032 	2983 	6032 	2997 	31 	31 
ENST00000508814 	ENST00000510210 ENST00000512493 	289 	242 252 	289 	242 252 	52 	53 53 
ENST00000327064 ENST00000344150 ENST00000586221 	ENST00000586748 ENST00000253031 	2869 2610 2598 	1515 1469 	2869 2610 2598 	1515 1469 	53 53 53 	35 35 
ENST00000452875 	ENST00000472331 ENST00000467457 	3849 	959 1508 	3849 	959 1508 	52 	52 52 
ENST00000469528 ENST00000495588 	ENST00000605528 ENST00000467930 	128 4 	333 316 	128 4 	333 316 	53 53 	53 53 
ENST00000427534 	ENST00000558353 	6879 	962 	6879 	962 	53 	53 
ENST00000570037 ENST00000562111 	ENST00000569248 ENST00000565813 	791 744 	1767 216 	791 744 	1767 216 	52 52 	53 53 
ENST00000407690 	ENST00000307296 ENST00000465122 ENST00000457054 	2987 	1802 87 1595 	2987 	1802 87 1595 	53 	53 53 53 
ENST00000449131 	ENST00000517577 	3743 	238 	3743 	238 	52 	53 
ENST00000307980 ENST00000535644 	ENST00000358239 	2001 1505 	993 	2001 1505 	993 	53 53 	53 
ENST00000592379 	ENST00000475608 	82 	17 	82 	17 	53 	53 
ENST00000309733 ENST00000394511 ENST00000478538 ENST00000483793 ENST00000473559 ENST00000489060 	ENST00000556347 ENST00000229465 	6601 181 58 3801 2112 1645 	671 815 	6601 181 58 3801 2112 1645 	671 815 	32 32 32 32 32 32 	52 52 
ENST00000310823 	ENST00000482918 ENST00000492223 ENST00000481367 ENST00000351760 ENST00000487850 ENST00000490621 ENST00000545602 	4239 	736 678 674 692 485 173 674 	4239 	736 678 674 692 485 173 674 	53 	53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	113 	41 	113 	53 	50 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2286 2187 1941 	160 289 	2286 2187 1941 	160 289 	53 53 53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	87 46 	482 	87 46 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	286 	87 30 	286 	87 30 	53 	50 50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	829 362 385 380 386 387 385 362 	3482 	829 362 385 380 386 387 385 362 	52 	53 53 53 53 53 53 53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 	216 	110 69 88 	216 	110 69 88 	53 	53 53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 	210 	107 66 85 	210 	107 66 85 	53 	53 53 53 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	281 1901 	3096 3080 	281 1901 	3096 3080 	36 36 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	86 84 226 	3744 	86 84 226 	53 	52 52 52 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1248 843 1251 	231 	1248 843 1251 	231 	53 53 53 	53 
ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000553023 ENST00000476192 ENST00000504880 ENST00000497426 ENST00000581050 	ENST00000521576 ENST00000297798 ENST00000411432 	954 968 954 968 2 6067 895 6067 998 	191 191 3491 	954 968 954 968 2 6067 895 6067 998 	191 191 3491 	53 53 53 53 53 53 53 53 53 	49 49 49 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000459839 ENST00000492555 ENST00000469616 	7845 2079 588 	1520 1885 387 	7845 2079 588 	1520 1885 387 	53 53 53 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1149 1166 	232 183 	1149 1166 	232 183 	52 52 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1151 1168 	306 257 	1151 1168 	306 257 	53 53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3484 	786 337 170 203 201 342 542 342 374 342 	3484 	786 337 170 203 201 342 542 342 374 342 	53 	52 52 52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	87 30 	364 	87 30 	53 	50 50 
ENST00000543469 	ENST00000486711 	3890 	564 	3892 	564 	51 	52 
ENST00000558910 ENST00000467228 ENST00000545606 ENST00000598601 ENST00000382021 ENST00000303525 ENST00000473371 ENST00000295065 ENST00000549235 ENST00000556292 ENST00000366221 ENST00000489047 ENST00000550746 ENST00000396594 ENST00000539815 ENST00000410026 ENST00000522936 ENST00000517381 ENST00000264968 ENST00000393487 ENST00000409734 ENST00000547440 ENST00000552279 ENST00000470730 ENST00000338352 ENST00000527818 ENST00000301335 ENST00000493559 	ENST00000501408 ENST00000570752 	656 2355 6491 2079 3034 2938 1332 3464 227 270 758 3111 3688 2786 2622 9568 37 37 3245 3195 902 1618 620 1990 1271 1618 6636 969 	1565 1187 	656 2355 6491 2079 3034 2938 1332 3464 227 270 758 3111 3688 2786 2622 9568 37 37 3245 3195 902 1618 620 1990 1271 1618 6636 969 	1582 1204 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	36 36 
ENST00000397755 	ENST00000413529 	2105 	185 	2113 	194 	45 	44 
ENST00000463943 	ENST00000335179 ENST00000545072 	371 	80 23 	372 	80 23 	52 	50 50 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2981 2882 2636 	233 	2981 2882 2636 	233 	53 53 53 	52 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000459839 ENST00000492555 	7842 2076 585 	1579 1944 	7842 2076 585 	1579 1944 	52 52 52 	53 53 
ENST00000527246 ENST00000486951 ENST00000482150 ENST00000470357 ENST00000223076 	ENST00000592540 	2331 519 417 18 554 	726 	2348 536 434 35 571 	741 	36 36 36 36 36 	31 
ENST00000335185 	ENST00000525054 	3719 	509 	3719 	509 	52 	53 
ENST00000282701 	ENST00000340855 ENST00000595787 	4629 	3917 3917 	4629 	3917 3917 	51 	53 53 
ENST00000587935 	ENST00000579815 	119 	535 	121 	535 	50 	53 
ENST00000593646 	ENST00000310118 ENST00000435761 ENST00000439383 ENST00000496925 	266 	2492 1671 1682 302 	266 	2492 1671 1682 302 	53 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3416 	789 322 340 173 206 204 345 345 377 345 322 	3416 	789 322 340 173 206 204 345 345 377 345 322 	52 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000507623 ENST00000380638 	393 	67 67 	393 	67 67 	53 	51 51 
ENST00000449131 	ENST00000517577 	3742 	236 	3742 	236 	53 	53 
ENST00000242505 	ENST00000469143 ENST00000557141 	4334 	40 379 	4335 	49 388 	51 	32 32 
ENST00000429089 ENST00000220809 ENST00000352041 ENST00000521042 ENST00000521647 ENST00000520523 ENST00000521694 ENST00000270189 	ENST00000570137 ENST00000562812 ENST00000563890 ENST00000566173 ENST00000561616 	567 674 488 80 637 551 494 626 	1100 1037 1037 1037 395 	567 674 488 80 637 551 494 626 	1100 1037 1037 1037 395 	53 53 53 53 53 53 53 53 	51 51 51 51 51 
ENST00000314675 	ENST00000319041 	2091 	606 	2091 	606 	52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3417 	825 358 381 376 242 240 382 383 381 413 381 358 	3417 	825 358 381 376 242 240 382 383 381 413 381 358 	51 	38 38 38 38 38 38 38 38 38 38 38 38 
ENST00000314675 	ENST00000319041 	2120 	560 	2120 	560 	51 	53 
ENST00000526743 	ENST00000534706 	1852 	672 	1852 	672 	53 	53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	244 242 230 214 	59 	244 242 230 214 	59 	52 52 52 52 	53 
ENST00000547408 	ENST00000394023 	609 	4179 	609 	4179 	52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2964 2865 2619 	241 	2964 2865 2619 	241 	53 53 53 	53 
ENST00000299565 	ENST00000262715 	2754 	9063 	2761 	9063 	34 	38 
ENST00000293272 ENST00000366113 ENST00000463941 ENST00000603197 ENST00000605140 ENST00000605509 	ENST00000503937 ENST00000348405 ENST00000513858 ENST00000395310 ENST00000443462 ENST00000509142 ENST00000505472 ENST00000500777 ENST00000508502 ENST00000355196 ENST00000264405 ENST00000505984 ENST00000511338 ENST00000508479 ENST00000432794 ENST00000448323 ENST00000326950 ENST00000311785 	686 565 551 686 565 551 	21 2508 2525 2755 2584 2700 2666 2459 2692 2950 2349 2520 203 2642 2736 2733 2616 2736 	686 565 551 686 565 551 	21 2508 2525 2755 2584 2700 2666 2459 2692 2950 2349 2520 203 2642 2736 2733 2616 2736 	52 52 52 52 52 52 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3459 	782 333 166 199 197 338 538 338 370 338 	3459 	782 333 166 199 197 338 538 338 370 338 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000458707 ENST00000317751 	ENST00000476499 ENST00000514179 ENST00000546151 ENST00000358689 ENST00000522255 ENST00000420886 ENST00000267176 ENST00000325722 ENST00000373266 ENST00000446231 ENST00000565324 ENST00000389467 	1301 2026 	1335 1931 2056 2227 791 9054 9051 3904 2107 12919 12176 12872 	1301 2026 	1335 1931 2056 2227 791 9054 9051 3904 2107 12919 12176 12872 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1154 1171 	197 148 	1154 1171 	197 148 	52 52 	51 51 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	281 1901 	3086 3070 	281 1901 	3086 3070 	36 36 	52 52 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	355 	1946 2078 2525 	355 	53 53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3492 	801 334 352 218 216 358 557 357 389 357 334 	3492 	801 334 352 218 216 358 557 357 389 357 334 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000601871 	ENST00000484412 	1473 	599 	1473 	599 	53 	53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1250 845 1253 	217 	1250 845 1253 	217 	53 53 53 	53 
ENST00000295269 ENST00000355520 ENST00000261200 	ENST00000557060 ENST00000551944 ENST00000550977 ENST00000604604 ENST00000479145 	3861 7041 6636 	2967 3511 2375 1484 2 	3861 7041 6636 	2967 3511 2375 1484 2 	53 53 53 	53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3759 	208 90 88 230 208 	3759 	208 90 88 230 208 	52 	53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000535113 ENST00000606973 	ENST00000309033 	7474 2049 	3565 	7474 2049 	3565 	37 37 	35 
ENST00000347053 	ENST00000373166 ENST00000462715 ENST00000373163 ENST00000373162 	4153 	462 1161 521 735 	4153 	462 1161 521 735 	53 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	121 80 	482 	121 80 	53 	53 53 
ENST00000381661 	ENST00000336023 ENST00000332858 ENST00000547765 ENST00000550367 ENST00000551324 ENST00000530835 	2211 	403 1978 687 403 512 403 	2223 	403 1978 687 403 512 403 	41 	53 53 53 53 53 53 
ENST00000376317 	ENST00000598366 ENST00000601845 ENST00000593601 ENST00000595537 ENST00000599415 ENST00000601143 ENST00000597869 ENST00000597751 ENST00000598282 ENST00000598503 ENST00000601751 ENST00000598227 ENST00000599059 ENST00000593414 ENST00000331925 ENST00000573283 ENST00000575842 ENST00000576917 ENST00000576209 ENST00000575087 ENST00000576544 ENST00000572105 ENST00000576214 ENST00000571691 ENST00000575994 ENST00000575659 ENST00000571721 ENST00000570382 	2648 	409 434 689 315 147 453 326 316 283 271 474 362 583 334 409 434 689 315 147 453 326 316 283 271 474 362 583 334 	2648 	409 434 689 315 147 453 326 316 283 271 474 362 583 334 409 434 689 315 147 453 326 316 283 271 474 362 583 334 	52 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	96 	41 	96 	53 	53 
ENST00000429412 ENST00000546113 ENST00000309733 ENST00000604015 	ENST00000284037 ENST00000380943 ENST00000380938 ENST00000511297 ENST00000506030 ENST00000508515 ENST00000380939 ENST00000380936 ENST00000380935 	1804 1804 7476 274 	2466 2385 2331 2202 2168 2136 2367 2367 2367 	1804 1804 7476 274 	2466 2385 2331 2202 2168 2136 2367 2367 2367 	51 51 51 51 	49 49 49 49 49 49 49 49 49 
ENST00000403268 ENST00000376344 ENST00000314700 ENST00000580482 	ENST00000481242 	2752 1516 1143 1004 	436 	2769 1533 1160 1021 	436 	35 35 35 35 	53 
ENST00000412938 ENST00000504931 	ENST00000305877 ENST00000436990 	2049 6044 	6639 3748 	2049 6044 	6641 3750 	53 53 	51 51 
ENST00000321826 	ENST00000590158 	1611 	954 	1611 	954 	53 	40 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3436 	829 362 385 380 386 387 385 362 	3436 	829 362 385 380 386 387 385 362 	53 	53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	245 196 	1152 1169 	245 196 	53 53 	53 53 
ENST00000319863 ENST00000354286 ENST00000513321 ENST00000485628 ENST00000320892 ENST00000243706 ENST00000564159 ENST00000523098 ENST00000495658 	ENST00000359543 	3245 2861 1164 477 4578 3806 1249 224 645 	2314 	3265 2881 1184 497 4598 3826 1269 244 665 	2314 	33 33 33 33 33 33 33 33 33 	53 
ENST00000219548 	ENST00000565258 	1400 	397 	1400 	397 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3000 2901 2655 	215 	3000 2901 2655 	215 	53 53 53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1152 1169 	293 	1152 1169 	293 	53 53 	52 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3472 	784 335 168 201 199 340 540 340 372 340 	3472 	784 335 168 201 199 340 540 340 372 340 	49 	53 53 53 53 53 53 53 53 53 53 
ENST00000502824 ENST00000592225 	ENST00000473581 ENST00000376423 ENST00000296658 ENST00000375846 ENST00000484624 ENST00000593475 	1063 95 	3038 3015 1831 1747 1392 3017 	1063 95 	3038 3015 1831 1747 1392 3017 	53 53 	52 52 52 52 52 52 
ENST00000392857 	ENST00000481617 	4891 	2890 	4912 	2890 	32 	43 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	76 74 216 	3746 	76 74 216 	51 	51 51 51 
ENST00000484909 ENST00000494927 ENST00000498286 	ENST00000467062 	1134 787 8532 	2540 	1134 787 8532 	2540 	38 38 38 	34 
ENST00000482786 ENST00000420164 ENST00000306465 	ENST00000489471 ENST00000473428 	738 469 944 	796 636 	738 469 944 	796 636 	53 53 53 	53 53 
ENST00000419932 	ENST00000302278 ENST00000494395 ENST00000396033 ENST00000596032 	242 	2366 460 2437 516 	242 	2366 460 2437 516 	50 	51 51 51 51 
ENST00000496079 	ENST00000496605 	599 	449 	600 	449 	52 	50 
ENST00000514253 	ENST00000510019 ENST00000511844 	471 	186 145 	471 	186 145 	53 	51 51 
ENST00000281382 	ENST00000432183 ENST00000482449 ENST00000494370 ENST00000437982 	1252 	621 581 127 369 	1252 	621 581 127 369 	52 	52 52 52 52 
ENST00000449131 	ENST00000492727 	4179 	77 	4179 	77 	53 	53 
ENST00000514253 	ENST00000511844 	498 	36 	499 	36 	52 	53 
ENST00000563088 ENST00000564436 	ENST00000565813 	905 503 	113 	905 503 	113 	53 53 	52 
ENST00000373484 	ENST00000463378 	3283 	777 	3283 	777 	52 	53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	239 237 225 209 	87 	239 237 225 209 	87 	52 52 52 52 	53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4148 	113 111 313 113 113 	4148 	113 111 313 113 113 	53 	53 53 53 53 53 
ENST00000262866 	ENST00000558530 	2591 	835 	2591 	835 	52 	53 
ENST00000592379 	ENST00000475608 	152 	12 	152 	12 	53 	53 
ENST00000592379 	ENST00000582736 	41 	116 	41 	116 	53 	53 
ENST00000551064 ENST00000481916 ENST00000536542 ENST00000549708 ENST00000580938 ENST00000552927 ENST00000476192 ENST00000539061 ENST00000504880 ENST00000295240 ENST00000392663 ENST00000472667 ENST00000535433 ENST00000403396 ENST00000497426 	ENST00000601706 	241 1851 16 241 1851 241 6693 2125 1380 3056 2688 2451 241 3027 6693 	256 	241 1851 244 241 1851 241 6693 2125 1380 3056 2688 2451 241 3027 6693 	265 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 	44 
ENST00000360916 ENST00000295290 ENST00000444671 ENST00000513459 	ENST00000397498 ENST00000577142 ENST00000573392 ENST00000571082 ENST00000570910 ENST00000574938 ENST00000570561 ENST00000576135 ENST00000573569 	1768 1673 1451 1506 	756 1885 425 1101 1433 475 589 541 664 	1768 1673 1451 1506 	756 1885 425 1101 1433 475 589 541 664 	36 36 36 36 	53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	77 20 	365 	77 20 	53 	52 52 
ENST00000376931 ENST00000523267 ENST00000518219 ENST00000523084 ENST00000292586 ENST00000521299 ENST00000521333 	ENST00000242351 	467 212 3618 569 711 592 300 	6090 	467 212 3618 569 711 592 300 	6090 	52 52 52 52 52 52 52 	52 
ENST00000510406 	ENST00000416543 ENST00000433009 	3 	860 429 	3 	860 429 	52 	53 53 
ENST00000314675 	ENST00000319041 	2089 	606 	2089 	606 	53 	53 
ENST00000515098 ENST00000513162 	ENST00000335274 	3252 4010 	308 	3252 4010 	308 	53 53 	32 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	127 86 	463 	127 86 	53 	53 53 
ENST00000562824 ENST00000563088 	ENST00000564370 	926 993 	809 	926 993 	809 	52 52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3417 	826 359 382 377 383 384 382 359 	3417 	826 359 382 377 383 384 382 359 	51 	53 53 53 53 53 53 53 53 
ENST00000425015 	ENST00000591724 	2004 	23 	2004 	23 	53 	52 
ENST00000361681 	ENST00000361567 	491 	1701 	491 	1701 	34 	52 
ENST00000490210 ENST00000605787 	ENST00000537927 ENST00000318304 ENST00000228425 	7040 370 	5439 5720 5652 	7051 381 	5439 5720 5652 	42 42 	51 51 51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	72 70 212 	3759 	72 70 212 	52 	52 52 52 
ENST00000355568 ENST00000544076 	ENST00000584196 ENST00000333139 ENST00000446232 ENST00000582966 ENST00000476192 ENST00000497426 	2593 1324 	1851 1168 1036 1851 7006 7006 	2593 1324 	1851 1168 1036 1851 7006 7006 	53 53 	52 52 52 52 52 52 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000432393 	73 73 73 	257 257 257 	73 73 73 	257 257 257 	53 53 53 	52 52 52 
ENST00000565813 	ENST00000570037 ENST00000562111 	173 	810 763 	173 	810 763 	53 	52 52 
ENST00000592379 	ENST00000582736 ENST00000475608 	32 	45 30 	32 	45 30 	53 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000503605 	260 	231 241 422 	260 	231 241 422 	52 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	97 95 237 	3760 	97 95 237 	52 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3492 	825 358 381 376 382 383 381 358 	3492 	825 358 381 376 382 383 381 358 	53 	53 53 53 53 53 53 53 53 
ENST00000586748 ENST00000253031 ENST00000592646 	ENST00000327064 ENST00000344150 ENST00000586221 	1431 1385 833 	2821 2562 2550 	1432 1386 834 	2821 2562 2550 	52 52 52 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	79 77 219 216 	3744 	79 77 219 216 	53 	53 53 53 53 
